issue_resolution_time,pr_merge_frequency,star_growth_rate,contributor_retention,health_ratio
5,15,3,80,75.5
10,20,5,60,66.0
3,10,1,90,83.5
8,25,4,70,78.0
6,30,2,50,66.0
12,5,0,40,45.0
1,40,6,95,90.0
4,35,7,85,82.5
9,15,2,75,70.0
7,20,3,65,68.0
2,10,5,80,85.0
11,25,1,55,60.5
3,30,4,90,88.0
6,20,2,70,72.0
5,15,3,80,75.5
10,20,5,60,66.0
3,10,1,90,83.5
8,25,4,70,78.0
6,30,2,50,66.0
12,5,0,40,45.0
1,40,6,95,90.0
4,35,7,85,82.5
9,15,2,75,70.0
7,20,3,65,68.0
2,10,5,80,85.0
11,25,1,55,60.5
3,30,4,90,88.0
6,20,2,70,72.0
5,15,3,80,75.5
10,20,5,60,66.0
3,10,1,90,83.5
8,25,4,70,78.0
6,30,2,50,66.0
12,5,0,40,45.0
1,40,6,95,90.0
4,35,7,85,82.5
9,15,2,75,70.0
7,20,3,65,68.0
2,10,5,80,85.0
11,25,1,55,60.5
3,30,4,90,88.0
6,20,2,70,72.0
5,15,3,80,75.5
10,20,5,60,66.0
3,10,1,90,83.5
8,25,4,70,78.0
6,30,2,50,66.0
12,5,0,40,45.0
1,40,6,95,90.0
4,35,7,85,82.5
9,15,2,75,70.0
7,20,3,65,68.0
2,10,5,80,85.0
11,25,1,55,60.5
3,30,4,90,88.0
6,20,2,70,72.0
5,15,3,80,75.5
10,20,5,60,66.0
3,10,1,90,83.5
8,25,4,70,78.0
6,30,2,50,66.0
12,5,0,40,45.0
1,40,6,95,90.0
4,35,7,85,82.5
9,15,2,75,70.0
7,20,3,65,68.0
2,10,5,80,85.0
11,25,1,55,60.5
3,30,4,90,88.0
6,20,2,70,72.0
5,15,3,80,75.5
10,20,5,60,66.0
3,10,1,90,83.5
8,25,4,70,78.0
6,30,2,50,66.0
12,5,0,40,45.0
1,40,6,95,90.0
4,35,7,85,82.5
9,15,2,75,70.0
7,20,3,65,68.0
2,10,5,80,85.0
11,25,1,55,60.5
3,30,4,90,88.0
6,20,2,70,72.0
5,15,3,80,75.5
10,20,5,60,66.0
3,10,1,90,83.5
8,25,4,70,78.0
6,30,2,50,66.0
12,5,0,40,45.0
1,40,6,95,90.0
4,35,7,85,82.5
9,15,2,75,70.0
7,20,3,65,68.0
2,10,5,80,85.0
11,25,1,55,60.5
3,30,4,90,88.0
6,20,2,70,72.0
5,15,3,80,75.5
10,20,5,60,66.0
3,10,1,90,83.5
8,25,4,70,78.0
6,30,2,50,66.0
12,5,0,40,45.0
1,40,6,95,90.0
4,35,7,85,82.5
